"id","nome"
1,"Laboratório de Química"
2,"Laboratório de Física"
3,"Laboratório de Informática 1"
4,"Laboratório de Informática 2"
5,"Laboratório de Informática 3"
6,"Laboratório de Informática 4"
7,"Laboratório de Eletrônica 1"
8,"Laboratório de Eletrônica 2"
9,"Laboratório de Automação"
10,"Laboratório de Manufatura"
11,"Laboratório de Mecânica"
12,"Laboratório de Motores"
13,"Laboratório Computação Gráfica"
14,"Laboratório de Projetos"
