"id","nome"
1,"INI1A"
2,"INI2A"
3,"INI3A"
4,"INI1B"
5,"INI2B"
6,"INI3B"
7,"ELI1"
8,"ELI2"
9,"ELI3"
10,"MEI1"
11,"MEI2"
12,"MEI3"
13,"INF1"
14,"INF2"
15,"INF3"
16,"ELE1"
17,"ELE2"
18,"ELE3"
19,"MEC1"
20,"MEC2"
21,"MEC3"
22,"DEL"
