"id","id_atribuicao","id_turma"
2,1,22
3,2,22
21,3,22
54,4,22
55,5,22
56,6,16
57,7,16
58,8,16
59,9,16
60,10,17
61,11,17
62,12,17
63,13,17
64,14,17
65,15,17
66,16,17
67,17,18
68,18,18
69,19,18
71,20,18
72,21,18
73,22,18
74,23,18
75,24,7
76,25,7
77,26,7
78,27,7
79,28,7
80,29,7
81,30,7
82,31,7
83,32,7
84,33,7
85,34,7
86,35,7
87,36,7
88,37,7
89,38,7
90,39,7
91,40,8
92,41,8
93,42,8
94,43,8
95,44,8
96,45,8
97,46,8
98,47,8
99,48,8
100,49,8
101,50,8
102,51,8
103,52,8
104,53,8
105,54,8
106,55,9
107,56,9
108,57,9
109,58,9
110,59,9
111,60,9
112,61,9
113,62,9
114,63,9
115,64,9
116,65,9
117,66,9
118,67,9
119,68,9
120,69,13
121,70,13
122,71,13
123,72,13
124,73,13
125,74,13
126,75,13
128,76,13
129,77,14
130,78,14
131,79,14
132,80,14
133,81,14
134,82,14
135,83,14
136,84,15
137,85,15
138,86,15
139,87,15
140,88,15
141,89,15
142,90,15
143,91,1
144,92,1
145,93,1
146,94,1
147,95,1
148,96,1
149,97,1
150,98,1
151,99,1
152,100,1
153,101,1
154,102,1
155,103,1
156,104,1
158,106,1
159,107,1
160,108,1
161,109,1
162,110,1
163,111,4
164,112,4
165,113,4
166,114,4
167,115,4
168,116,4
169,117,4
170,118,4
178,119,4
179,120,4
180,121,4
181,122,4
182,123,4
183,124,4
184,125,4
185,126,4
186,127,4
187,128,4
188,129,4
189,130,4
190,131,2
191,132,2
192,133,2
193,134,2
194,135,2
195,136,2
196,137,2
197,138,2
198,139,2
199,140,2
200,141,2
201,142,2
202,143,2
203,144,2
204,145,2
205,146,2
206,147,5
207,148,5
208,149,5
209,150,5
210,151,5
211,152,5
212,153,5
213,154,5
214,155,5
215,156,5
216,157,5
217,158,5
218,159,5
219,160,5
220,161,5
221,162,5
222,163,3
223,164,3
346,165,3
347,166,3
348,167,3
349,168,3
350,169,3
351,170,3
352,171,3
353,172,3
354,173,3
355,174,3
356,175,3
357,176,3
358,177,3
359,178,3
360,179,6
361,180,6
362,181,6
363,182,6
364,183,6
365,184,6
366,185,6
367,186,6
368,187,6
369,188,6
370,189,6
371,190,6
372,191,6
373,192,6
374,193,6
375,194,6
376,195,19
377,196,19
378,197,19
379,198,19
380,199,19
381,200,20
382,201,20
383,202,20
384,203,20
385,204,20
386,205,21
387,206,21
388,207,21
389,208,21
390,209,21
391,210,21
392,211,21
393,212,10
394,213,10
395,214,10
396,215,10
397,216,10
398,217,10
399,218,10
400,219,10
401,220,10
402,221,10
403,222,10
404,223,10
405,224,10
406,225,10
407,226,10
408,227,10
409,228,10
410,229,11
411,230,11
412,231,11
413,232,11
414,233,11
415,234,11
416,235,11
417,236,11
418,237,11
419,238,11
420,239,11
421,240,11
422,241,11
423,242,11
424,243,11
425,244,11
426,245,12
427,246,12
428,247,12
429,248,12
430,249,12
431,250,12
432,251,12
433,252,12
434,253,12
435,254,12
436,255,12
437,256,19
438,257,19
439,258,19
440,259,20
441,260,20
442,261,20
443,262,10
444,263,10
445,264,10
446,265,11
447,266,11
448,267,11
449,268,12
450,269,12
451,270,12
452,271,7
453,272,7
454,274,8
455,275,8
456,277,1
457,278,1
458,280,4
459,281,4
460,283,2
461,284,2
462,286,5
463,287,5
464,289,10
465,290,10
466,292,11
467,293,11
470,295,16
471,296,16
472,297,16
473,298,16
474,299,16
475,300,16
476,305,7
477,306,7
478,307,7
479,308,7
480,309,7
481,310,7
482,315,8
483,316,8
484,317,8
485,318,8
486,321,9
487,322,9
488,323,9
489,324,9
490,327,13
491,328,13
492,329,13
493,330,13
494,333,1
495,334,1
496,335,1
497,336,1
498,339,4
499,340,4
500,341,4
501,342,4
502,345,2
503,346,2
504,347,2
505,348,2
506,351,5
507,352,5
508,353,5
509,354,5
510,357,19
511,358,19
512,359,19
513,360,19
514,363,10
515,364,10
516,365,10
517,366,10
518,369,20
519,370,20
520,371,20
521,372,20
522,375,11
523,376,11
524,377,11
525,378,11
526,381,12
527,382,12
528,383,12
529,384,12
536,387,12
537,388,12
538,389,12
539,390,12
542,105,1
